,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,likes_people,keep_in,prob_likes,labels,age_interval
0,23807,0,0.25,female,Unknown Mix,2019-12-10,2019-12-11,2019-12-11,red,short,small,no,no,unknow,0.22557068843560085,2,Puppy
1,533,0,0.17,female,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,black and white,short,small,no,yes,unknow,0.34905080948834455,2,Puppy
2,23793,1,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,short,medium,no,no,unknow,0.07466603050868122,1,Young
3,23795,1,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,no,unknow,0.025192044689326017,1,Puppy
4,23806,0,2.0,female,French Bulldog Mix,2019-12-10,2019-12-11,2019-12-11,black,short,small,no,no,unknow,0.5364136836368186,3,Puppy
5,23801,0,4.25,male,Unknown Mix,2019-12-09,2019-12-24,2019-12-09,yellow-brown,short,small,yes,no,unknow,0.02485413926549002,1,Young
6,534,0,0.17,male,Unknown Mix,2019-12-01,2019-12-01,2019-12-09,brown,short,small,no,yes,unknow,0.4123236422940359,3,Puppy
7,23805,1,0.17,female,Unknown Mix,2019-12-10,2019-12-25,2019-12-11,gray and white,short,medium,no,no,unknow,0.07829889037773977,1,Puppy
8,23809,1,0.17,female,Unknown Mix,2019-12-11,2019-12-26,2019-12-12,black,medium,medium,no,no,unknow,0.04994689196046106,1,Puppy
9,1801,0,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,brown and white,short,small,no,yes,flat,0.9900865623850748,10,Puppy
10,1222,0,3.67,male,Vizsla Mix,2019-10-25,2019-10-25,2019-12-12,red,short,medium,yes,no,unknow,0.08547150020602683,1,Young
11,23792,1,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,no,unknow,0.05195564119889117,1,Puppy
12,23797,1,5.0,female,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,brown,long,small,no,no,unknow,0.008718111505768428,1,Young
13,1800,0,0.17,male,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,yes,flat,0.9904130240697315,10,Puppy
14,532,0,1.5,male,"Bull Terrier, Dachshund Mix",2019-12-01,2019-12-01,2019-12-09,brown and white,short,medium,yes,yes,unknow,0.6305144030172765,3,Puppy
15,23796,1,8.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,medium,medium,no,no,unknow,0.035525997991683954,1,Young
16,1802,0,0.17,female,Unknown Mix,2019-12-10,2019-12-10,2019-12-11,tricolor,short,small,no,yes,flat,0.9842514523874483,10,Puppy
17,1799,0,0.83,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-09,black,wirehaired,small,yes,yes,both flat and garden,0.9232649524148531,5,Puppy
18,23794,1,1.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,no,unknow,0.025192044689326017,1,Puppy
19,1393,0,0.5,male,Unknown Mix,2019-12-08,2019-12-10,2019-12-10,spotty,medium,small,yes,no,unknow,0.03852822964813484,1,Puppy
20,23788,0,7.58,female,Kuvasz,2019-12-01,2019-12-16,2019-12-08,white,medium,large,yes,no,unknow,0.6760731689595585,3,Young
21,4492,0,1.0,male,Unknown Mix,2019-11-25,2019-11-25,2019-12-07,black,medium,medium,unknow,yes,both flat and garden,0.9545435489716662,7,Puppy
22,4484,0,0.17,female,Unknown Mix,2019-11-27,2019-11-27,2019-12-07,apricot,short,small,unknow,yes,both flat and garden,0.976157013029499,9,Puppy
23,23787,1,0.67,female,Unknown Mix,2019-12-07,2019-12-22,2019-12-07,yellow-brown,wirehaired,medium,no,no,unknow,0.04723357132150418,1,Puppy
24,4487,0,0.58,female,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,black,short,small,unknow,yes,both flat and garden,0.9869488624910245,10,Puppy
25,4491,0,5.0,female,Chinese Shar-Pei Mix,2019-11-28,2019-11-28,2019-12-07,black and brown,short,medium,unknow,yes,both flat and garden,0.9633615910068568,7,Young
26,4486,0,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,brown and white,short,medium,unknow,yes,both flat and garden,0.9736489498966725,8,Puppy
27,4488,0,0.42,female,German Shepherd Dog Mix,2019-12-01,2019-12-01,2019-12-07,black and brown,short,medium,unknow,yes,both flat and garden,0.9741672584987543,8,Puppy
28,23790,1,6.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,saddle back,medium,medium,no,no,unknow,0.08236659607379813,1,Young
29,1798,0,2.42,male,Hungarian Vizsla,2019-12-07,2019-12-07,2019-12-07,brown,short,medium,no,yes,both flat and garden,0.989435102446063,10,Puppy
30,4489,0,1.0,male,"Komondor, Puli Mix",2019-11-27,2019-11-27,2019-12-07,golden,medium,medium,unknow,yes,both flat and garden,0.9869433325669054,10,Puppy
31,23784,1,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",2019-12-06,2019-12-21,2019-12-07,striped,short,medium,no,no,unknow,0.06733899864018156,1,Puppy
32,23789,1,0.33,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,black,short,small,no,no,unknow,0.042871038649683564,1,Puppy
33,4490,0,1.0,male,Unknown Mix,2019-11-22,2019-11-22,2019-12-07,brown,medium,large,unknow,yes,both flat and garden,0.9482159778664854,6,Puppy
34,4485,0,0.15,female,Staffordshire Terrier Mix,2019-12-01,2019-12-01,2019-12-07,striped,short,medium,unknow,yes,both flat and garden,0.9785920612875783,9,Puppy
35,1795,0,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,black and white,wirehaired,small,yes,yes,both flat and garden,0.946537505047771,6,Puppy
36,1797,0,2.0,male,Unknown Mix,2019-12-05,2019-12-05,2019-12-07,yellow,short,medium,no,yes,both flat and garden,0.9724900998856296,8,Puppy
37,4483,0,0.67,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-07,apricot,short,small,unknow,yes,both flat and garden,0.9792251775088848,9,Puppy
38,1796,0,1.0,male,Fox Terrier Mix,2019-12-07,2019-12-07,2019-12-07,brown and white,wirehaired,small,yes,yes,both flat and garden,0.9766584561776702,9,Puppy
39,23791,1,4.0,male,Unknown Mix,2019-12-08,2019-12-23,2019-12-08,yellow-brown,medium,medium,no,no,unknow,0.0319759101763624,1,Young
40,23778,0,8.0,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,wild boar,short,small,no,no,unknow,0.12671411288643886,1,Young
41,1048,0,9.25,female,Afghan Hound,2019-12-01,2019-12-04,2019-12-03,brown,long,medium,yes,yes,flat,0.9497304091329987,6,Middle_age
42,2138,0,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,wirehaired,medium,yes,no,unknow,0.10344254859247286,1,Puppy
43,1793,0,1.42,male,Unknown Mix,2019-12-03,2019-12-03,2019-12-05,brown and white,short,medium,no,yes,both flat and garden,0.9883583233582327,10,Puppy
44,23777,1,0.25,male,Unknown Mix,2019-12-02,2019-12-17,2019-12-02,black and tan,wirehaired,small,no,no,unknow,0.023543982190726752,1,Puppy
45,2137,0,0.5,male,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,tricolor,medium,medium,yes,no,unknow,0.13533758420101313,1,Puppy
46,2154,0,6.5,male,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,black,short,medium,yes,no,unknow,0.1309882910181336,1,Young
47,23780,1,0.25,female,Unknown Mix,2019-12-04,2019-12-19,2019-12-04,saddle back,medium,medium,no,no,unknow,0.04946575434863822,1,Puppy
48,1049,0,8.42,female,American Bulldog,2019-12-01,2019-12-04,2019-12-03,striped,short,medium,yes,yes,both flat and garden,0.9729448716597289,8,Young
49,2153,0,3.5,female,Unknown Mix,2019-10-07,2019-10-07,2019-12-05,brown,short,medium,yes,no,unknow,0.1436195952502836,2,Young
50,530,0,0.17,male,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,black and brown,short,medium,no,yes,unknow,0.8300517517338355,4,Puppy
51,2136,0,0.5,female,Unknown Mix,2019-11-04,2019-11-04,2019-11-29,brown,short,medium,yes,no,unknow,0.13637032094975435,1,Puppy
52,531,0,0.17,female,Beagle Mix,2019-11-01,2019-11-01,2019-11-30,brown and white,short,medium,no,yes,unknow,0.560107967141241,3,Puppy
